T;allocated heap
87660;5683864
87720;5852032
87780;5601432
87840;5340128
87900;5526488
87960;5863032
88020;8264640
88080;5606512
88140;5222552
88200;5889032
88260;4962288
88320;7022696
88380;5821872
88440;5799848
88500;7581848
88560;4561664
88620;5671696
88680;4672776
88740;5552696
88800;5086568
88860;5925896
88920;5488792
88980;6176600
89040;5039688
89100;5125536
89160;5428136
89220;8942056
89280;6100936
89340;5585400
89400;5592184
89460;5690384
89520;6173048
89580;8758360
89640;6512200
89700;5443168
89760;5744992
89820;6027352
89880;6128992
89940;5575008
90000;6663808
90060;5774176
90120;5620760
90180;5599920
90240;6398040
90300;6124080
90360;5717376
90420;7119232
90480;9679608
90540;7172136
90600;5520912
90660;6014480
90720;7831112
90780;5844904
90840;5962432
90900;6132304
90960;5460968
91020;5218824
91080;7027080
91140;5971960
91200;5369552
91260;5920368
91320;5822336
91380;7548064
91440;6126136
91500;6021272
91560;7756144
91620;7779632
91680;7083744
91740;6700368
91800;7257848
91860;5585504
91920;6124408
91980;6334592
92040;7969400
92100;8607232
92160;6212992
92220;8701464
92280;7022760
92340;6876440
92400;6077216
92460;6839584
92520;6098280
92580;6089648
92640;9187632
92700;5788792
92760;7358384
92820;6512040
92880;6015376
92940;6293032
93000;5810832
93060;6881272
93120;5976832
93180;5995432
93240;6303936
93300;5852064
93360;8800928
93420;5808840
93480;5824240
93540;5739032
93600;5693272
93660;5998064
93720;5894856
93780;7819584
93840;8486400
93900;8545280
93960;8195056
94020;9123296
94080;7680512
94140;6668024
94200;6114968
94260;8139200
94320;5750536
94380;5693136
94440;6227976
94500;7858288
94560;5844792
94620;7402856
94680;7580512
94740;6062136
94800;5697960
94860;5435080
94920;6590520
94980;8757504
95040;6183632
95100;6031680
95160;5543712
95220;5624288
95280;6174440
95340;7102464
95400;5802496
95460;5704200
95520;9193120
95580;5575696
95640;6213208
95700;5357616
95760;7424072
95820;6126000
95880;9127456
95940;5480072
96000;5650368
96060;6044296
96120;6470752
96180;5579680
96240;5711016
96300;6565616
96360;6385456
96420;6656168
96480;5851472
96540;5972944
96600;5792232
96660;6066120
96720;4226816
96780;5991808
96840;7507480
96900;6189984
96960;6095400
97020;5765664
97080;6424808
97140;5982592
97200;6001224
97260;5890736
97320;6197272
97380;6015528
97440;5390024
97500;5378704
97560;7253736
97620;6028752
97680;8026808
97740;7471848
97800;8308296
97860;6163776
97920;6644072
97980;9222880
98040;7138672
98100;5868000
98160;5162728
98220;7422664
98280;5220088
98340;5879656
98400;6080336
98460;8704360
98520;6196672
98580;5980680
98640;5437952
98700;5794528
98760;8438520
98820;7540040
98880;6565656
98940;6234856
99000;6336768
99060;7018032
99120;7537968
99180;6140896
99240;9147776
99300;8288192
99360;5931512
99420;5978696
99480;7649312
99540;5987168
99600;6096688
99660;5970632
99720;6281456
99780;5367656
99840;6155496
99900;6038384
99960;7541904
100020;6976688
100080;4884680
100140;8106632
100200;7247592
100260;6051216
100320;5959832
100380;5949664
100440;6158480
100500;7380408
100560;7453608
100620;6461664
100680;7274192
100740;6045960
100800;5998448
100860;7511944
100920;5703976
100980;5675424
101040;5575128
101100;7418632
101160;6023616
101220;6252928
101280;8873104
101340;5574928
101400;6125912
101460;5494056
101520;5909920
101580;5688752
101640;7431032
101700;7291112
101760;5984376
101820;5885112
101880;5859144
101940;6334488
102000;7530488
102060;5491296
102120;5303392
102180;6011312
102240;5661136
102300;6971744
102360;7097304
102420;8420608
102480;5989856
102540;8361368
102600;6159256
102660;5878232
102720;5631968
102780;7695512
102840;6313376
102900;5920200
102960;5667688
103020;6026800
103080;7228368
103140;9056168
103200;7090552
103260;7668064
103320;5620584
103380;7156312
103440;6398392
103500;7553624
103560;6074568
103620;5909144
103680;5436248
103740;5921768
103800;6432376
103860;6128992
103920;6254280
103980;7151592
104040;5292856
104100;5581792
104160;8564160
104220;7595560
104280;5331080
104340;7592888
104400;6963704
104460;5584488
104520;5083656
104580;7060576
104640;5632088
104700;7274824
104760;7598296
104820;5641776
104880;5245520
104940;5708704
105000;5505808
105060;6124880
105120;9240808
105180;5995936
105240;4180912
105300;5418112
105360;7064320
105420;6470248
105480;6265144
105540;6850992
105600;6752328
105660;7553088
105720;8977552
105780;6040064
105840;5744520
105900;5549048
105960;5777920
106020;6074968
106080;6712616
106140;5780296
106200;5838408
106260;5770616
106320;6013200
106380;7266464
106440;5906664
106500;5753176
106560;7118136
106620;6079680
106680;7448472
106740;6111080
106800;6411472
106860;5594280
106920;7649352
106980;6458600
107040;6803352
107100;5924128
107160;5559992
107220;6394944
107280;5828088
107340;6398280
107400;8065104
107460;7924264
107520;7666152
107580;8719072
107640;5825600
107700;5993360
107760;6036376
107820;5659448
107880;5736152
107940;5567240
108000;5985744
108060;4618984
108120;7170496
108180;6365808
108240;6589856
108300;5996640
108360;8236296
108420;5477808
108480;6922568
108540;6063176
108600;7410608
108660;5608256
108720;5842584
108780;5933184
108840;5680936
108900;6049264
108960;5839376
109020;5556176
109080;5836816
109140;5581128
109200;7283696
109260;6495104
109320;5763880
109380;6072600
109440;6279048
109500;5772464
109560;9207672
109620;5537000
109680;5779992
109740;6452976
109800;7403208
109860;7082456
109920;6124184
109980;7268264
110040;5993624
110100;7444400
110160;5483632
110220;5970104
110280;7003560
110340;5795728
110400;6062120
110460;6352008
110520;7257760
110580;4357736
110640;7082376
110700;6117752
110760;5632224
110820;5719624
110880;6470464
110940;5795896
111000;6757880
111060;6138768
111120;6647096
111180;6712616
111240;5507288
111300;7313440
111360;6384192
111420;5737616
111480;9100800
111540;6069552
111600;6502224
111660;7197744
111720;5612504
111780;6221696
111840;6334328
111900;6046832
111960;5702696
112020;6356264
112080;5545024
112140;6192400
112200;5933008
112260;5813984
112320;5648152
112380;5689256
112440;5685232
112500;6560152
112560;8174320
112620;7255776
112680;6965944
112740;5712672
112800;5625752
112860;5662936
112920;6471752
112980;6480984
113040;5566552
113100;5432512
113160;8666528
113220;6687112
113280;6329616
113340;6191592
113400;7705584
113460;5991600
113520;6079664
113580;8034720
113640;7508136
113700;5785608
113760;9000912
113820;5998368
113880;7230520
113940;6342424
114000;6159048
114060;4557688
114120;7241272
114180;4729184
114240;5649824
114300;5867280
114360;6295616
114420;5877344
114480;6257152
114540;5891248
114600;5574848
114660;4626544
114720;5762152
114780;6457152
114840;7206984
114900;7165144
114960;6027048
115020;5669888
115080;5755032
115140;8253944
115200;7193952
115260;7593072
115320;6017840
115380;6055744
115440;7103704
115500;7313648
115560;7400488
115620;8123960
115680;6166096
115740;6271856
115800;6016016
115860;6241800
115920;6338000
115980;7346712
116040;5019248
116100;8607120
116160;5864288
116220;6812112
116280;4616048
116340;4992072
116400;6004216
116460;6607832
116520;6352408
116580;5959736
116640;7832768
116700;7355592
116760;5443048
116820;5808168
116880;7846136
116940;8102672
117000;6063008
117060;7374800
117120;5448912
117180;7195424
117240;6008072
117300;7679088
117360;5364616
117420;6081632
117480;5447208
117540;7730344
117600;6627168
117660;5869400
117720;8157464
117780;5761056
117840;6206656
117900;5563144
117960;6233776
118020;5971224
118080;6173400
118140;7304800
118200;6149008
118260;6607696
118320;6387960
118380;6211928
118440;6820432
118500;7247624
118560;5764728
118620;5322792
118680;6175536
118740;7354376
118800;8602632
118860;7634384
118920;5732032
118980;5752248
119040;6271408
119100;9180352
119160;6269496
119220;5829184
119280;5989176
119340;7481944
119400;7885088
119460;6829144
119520;8279608
119580;6973712
119640;6810640
119700;6031240
