r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
3,0,0,1804424,40176,1105764,0,0,0,0,8491,649,2,52,47,0,0,"0,0740224137","0,2448281427","0,2295846101","-0,590250685","-0,410011667","-0,654317273","-0,471720465"
3,0,0,1804424,40176,1105764,0,0,0,0,11521,546,1,50,49,0,0,"-0,468794497","-0,380323835","0,0065176348","-0,619629365","-0,27493261","-0,250205829","-0,289698617"
3,0,0,1804424,40184,1105764,0,0,0,20,12174,547,1,51,49,0,0,"-0,582891797","-0,350769981","0,005297805","-0,57891765","-0,259412777","-0,104576595","-0,316283675"
3,0,0,1804424,40184,1105764,0,0,0,0,12484,542,1,50,49,0,0,"-0,634242731","-0,423838194","0,0070095516","-0,583193494","-0,228156859","-0,152600379","-0,241088992"
3,0,0,1804424,40184,1105764,0,0,0,0,12148,547,1,51,49,0,0,"-0,596058138","-0,336121661","-0,020013978","-0,600552235","-0,252603306","-0,154772409","-0,270077397"
4,0,0,1820524,40184,1105764,0,0,0,4,8047,597,1,52,47,0,0,"0,1111884395","0,055016658","-0,162152314","-0,228185882","-0,219239578","-0,460854205","-0,325735114"
4,0,0,1820524,40184,1105764,0,0,0,0,11264,528,2,50,48,0,0,"-0,400064941","-0,309852433","-0,07769587","0,0088150642","-0,297054255","-0,252312988","-0,047471572"
4,0,0,1820524,40192,1105764,0,0,0,12,11832,545,1,51,48,0,0,"-0,51856016","-0,318086381","-0,200512054","-0,082405042","-0,100933715","-0,079255687","-0,138027565"
4,0,0,1820524,40192,1105768,0,0,0,8,12037,539,2,51,48,0,0,"-0,536394885","-0,260477116","-0,08061434","0,0431030108","-0,244001987","-0,141790342","-0,054112882"
5,0,0,1820524,40192,1105768,0,0,0,0,12134,540,1,51,49,0,0,"-0,639672987","-0,413268622","-0,412934938","0,379559797","0,1461132045","-0,054737769","0,002900099"
5,0,0,1820524,40192,1105768,0,0,0,0,11981,540,1,50,49,0,0,"-0,593531067","-0,472435106","-0,374784666","0,3768857607","0,1584187958","-0,101157493","0,0107094016"
