r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
2,0,0,1178448,34400,1749376,0,0,0,0,10105,461,0,51,49,0,0,"-0,300445486","-0,569357329","-0,202361249","-0,069955066","0,0593697531","-0,720546587","0,1442461538"
3,0,0,1178448,34408,1749376,0,0,0,16,12188,426,0,51,49,0,0,"0,104255361","-0,580501653","-0,421373881","0,5063274054","-0,314389463","-0,213582793","0,0063565635"
3,0,0,1178448,34408,1749376,0,0,0,4,11534,435,0,51,49,0,0,"0,040894984","-0,511697971","-0,383214437","0,4221271037","-0,250247445","-0,200624969","-0,065386489"
2,0,0,1158040,34408,1749376,0,0,0,0,9293,462,1,51,49,0,0,"-0,315137728","-0,476019211","-0,054929464","-0,156890492","0,0333513844","-0,670594858","0,1357537006"
2,0,0,1158040,34408,1749376,0,0,0,0,11799,260,0,51,49,0,0,"-0,236103676","-1,189123138","-0,470372312","0,8035975014","-0,166907486","-0,362415171","1,0408972248"
2,0,0,1178204,34408,1749376,0,0,0,4,10885,516,0,51,49,0,0,"-0,163265549","-0,496007925","-0,182694477","-0,230388456","0,0160165929","-0,862617801","-0,025647471"
2,0,0,1166756,34416,1749376,0,0,0,12,9685,372,0,51,49,0,0,"-0,379350074","-0,764376783","-0,25383457","0,2165549619","0,0842302742","-0,484771793","0,4825150656"
2,0,0,1166756,34416,1749376,0,0,0,0,12099,414,0,51,49,0,0,"-0,086418803","-0,837979405","-0,334097948","0,2336758405","-0,128675988","-0,691254283","0,4512470704"
2,0,0,1145508,34416,1749376,0,0,0,4,9035,536,0,52,48,0,0,"-0,237719667","-0,276929177","-0,105587169","-0,442500327","0,2302203444","-0,845226526","-0,186349668"
4,0,0,1145508,34416,1749380,0,0,0,0,12152,420,0,51,49,0,0,"0,3588472245","-0,387700102","-0,520410514","0,7984997432","-0,466188102","0,3276018","-0,354070693"
2,0,0,1170356,34416,1749380,0,0,0,0,10921,462,0,51,49,0,0,"-0,180705424","-0,635371536","-0,2313262","-0,034834697","0,0009115709","-0,73627328","0,1953368921"
2,0,0,1158708,34424,1749380,0,0,0,20,10329,445,0,51,49,0,0,"-0,229236646","-0,642299035","-0,211120642","-0,024990573","0,0647223462","-0,660893232","0,2362177525"
2,0,0,1158708,34424,1749380,0,0,0,0,12168,405,0,51,49,0,0,"-0,063894484","-0,871595216","-0,341547033","0,2607729183","-0,128046696","-0,663261302","0,4965508234"
