T;allocated heap
65580;5920960
65640;5113512
65700;6141840
65760;5766936
65820;6431904
65880;5400832
65940;6074128
66000;5900432
66060;5075616
66120;5354488
66180;5447672
66240;5733240
66300;5618440
66360;5673320
66420;5777040
66480;5620128
66540;6084624
66600;6892336
66660;5598568
66720;5527376
66780;5878064
66840;6000000
66900;5937432
66960;5422744
67020;6051432
67080;5908600
67140;6170632
67200;6254664
67260;5563848
67320;5526584
67380;5191056
67440;5970184
67500;5149336
67560;5714768
67620;5140032
67680;5941104
67740;5794800
67800;5579952
67860;5654664
67920;6022720
67980;6454664
68040;5324768
68100;6244760
68160;6382832
68220;5603568
68280;5814568
68340;5154720
68400;5612008
68460;5936776
68520;5754824
68580;4259616
68640;5719824
68700;6339832
68760;5824376
68820;5735256
68880;6257640
68940;5782736
69000;5722896
69060;5451608
69120;5834280
69180;5701336
69240;7324896
69300;7354080
69360;6007184
69420;7218240
69480;6258608
69540;5611056
69600;5681984
69660;5754552
69720;7117960
69780;6365856
69840;6041952
69900;5920872
69960;6146760
70020;5230720
70080;6131656
70140;5734608
70200;5595888
70260;6209904
70320;5922592
70380;6100704
70440;7259960
70500;5543992
70560;5533616
70620;5345936
70680;5970592
70740;5631816
70800;6053936
70860;5546776
70920;5396360
70980;5940672
71040;6055408
71100;5223832
71160;6374232
71220;4984472
71280;4946808
71340;5814864
71400;5834792
71460;5883112
71520;6028296
71580;5981200
71640;5520144
71700;5349120
71760;5479496
71820;6054296
71880;6065248
71940;6302632
72000;5980680
72060;5686672
72120;5161920
72180;5890744
72240;6201640
72300;5425768
72360;5367016
72420;5006464
72480;5638504
72540;5185392
72600;6709384
72660;5272624
72720;6385080
72780;5868200
72840;6292976
72900;6383296
72960;5520552
73020;6105456
73080;6170608
73140;7244368
73200;5639768
73260;5825480
73320;6133544
73380;5515032
73440;6974384
73500;6192896
73560;5842016
73620;5550608
73680;5742800
73740;5202984
73800;5939576
73860;5716776
73920;6019592
73980;6879216
74040;5740008
74100;5570856
74160;5447624
74220;5618792
74280;6018696
74340;5829352
74400;6075912
74460;6304344
74520;5588136
74580;6055312
74640;5654232
74700;5511272
74760;5662232
74820;6661768
74880;5387872
74940;5808928
75000;6205696
75060;5730976
75120;6386136
75180;5989200
75240;6228496
75300;6256064
75360;5961368
75420;5303752
75480;6424056
75540;5520680
75600;6136456
75660;6625424
75720;6491096
75780;5492328
75840;6191504
75900;5787064
75960;6460568
76020;6366384
76080;5548344
76140;5538264
76200;5069496
76260;7122264
76320;5503024
76380;5976208
76440;5666024
76500;5261640
76560;6048336
76620;4795288
76680;6188000
76740;5863936
76800;6017152
76860;5587624
76920;5925112
76980;5302384
77040;5774320
77100;5898896
77160;6023880
77220;5829704
77280;7471240
77340;5544368
77400;6273400
77460;5792688
77520;5378408
77580;5502296
77640;6106024
77700;5966776
77760;5668376
77820;6209304
77880;6282936
77940;5908440
78000;5210248
78060;5888784
78120;6619584
78180;5503808
78240;7179128
78300;5326120
78360;6328008
78420;5475440
78480;6059264
78540;6054672
78600;4903088
78660;6145696
78720;6228024
78780;6054280
78840;6140448
78900;5601480
78960;5956024
79020;7009088
79080;5447472
79140;7421832
79200;6245464
79260;5923456
79320;6130248
79380;5818960
79440;5751256
79500;5521600
79560;6217792
79620;5242488
79680;7161272
79740;5732592
79800;5321968
79860;6047184
79920;6165440
79980;5853624
80040;6138664
80100;5802376
80160;5687024
80220;5715496
80280;5909792
80340;5422640
80400;6506960
80460;5933056
80520;6166144
80580;5560016
80640;5882832
80700;5752232
80760;5916632
80820;5678464
80880;6054952
80940;5895056
81000;5502584
81060;6456688
81120;5850384
81180;6392736
81240;5946072
81300;4954608
81360;5802040
81420;5693752
81480;5983032
81540;6350832
81600;6309272
81660;5710400
81720;6366664
81780;6013216
81840;5255712
81900;5693424
81960;6602928
82020;6219952
82080;6034736
82140;6606496
82200;6061104
82260;5883888
82320;5793624
82380;6028848
82440;5206600
82500;6887168
82560;5646728
82620;5872312
82680;6271736
82740;5841584
82800;5748912
82860;5711392
82920;5749312
82980;5477496
83040;5493512
83100;6528440
83160;5947320
83220;6126776
83280;5581576
83340;5668344
83400;5560360
83460;5272360
83520;5653272
83580;5836328
83640;5564840
83700;5537568
83760;5623504
83820;5349864
83880;5442888
83940;5852040
84000;5574072
84060;5073288
84120;5875816
84180;6049000
84240;5743376
84300;7277856
84360;5901912
84420;5744920
84480;7123216
84540;6497392
84600;5850056
84660;6112848
84720;6127280
84780;5098352
84840;6508136
84900;5680888
84960;5926992
85020;6300208
85080;5807904
85140;5823488
85200;7323216
85260;5387904
85320;6089840
85380;6013912
85440;7377424
85500;5615896
85560;6096808
85620;6268648
85680;5448160
85740;5541296
85800;6832104
85860;6089768
85920;5687520
85980;6075064
86040;5598032
86100;5855272
86160;5862144
86220;6570168
86280;5910608
86340;5254264
86400;6018792
86460;5341992
86520;6050312
86580;5755120
86640;5079320
86700;6501200
86760;5661488
86820;5897984
86880;5624040
86940;5847512
87000;7024712
87060;5963544
87120;6093912
87180;6505640
87240;5952944
87300;6183920
87360;6065288
87420;5980256
87480;6386464
87540;5336968
87600;5871272
87660;5867096
87720;6295896
87780;5886280
87840;5510600
87900;6818688
87960;5665296
88020;7566168
88080;5661480
88140;6090216
88200;5980632
88260;5444856
88320;6078720
88380;7281280
88440;5623768
88500;5984296
88560;5360192
88620;5582368
88680;5523376
88740;5798864
88800;7089680
88860;5444064
88920;5251608
88980;5572912
89040;5291816
89100;5592976
89160;5614056
89220;5763576
89280;5542616
89340;5881816
89400;6062656
89460;5418320
89520;5981048
89580;5651808
89640;6241680
89700;6489928
89760;6046040
89820;6311432
89880;5444992
89940;6168688
90000;6247264
90060;5878768
90120;6915864
90180;6278992
90240;5312928
90300;5384840
90360;6199136
90420;5523400
90480;5577320
90540;5656624
90600;5891400
90660;5951888
90720;5605984
90780;5735064
90840;6282472
90900;5412672
90960;7362440
91020;5754016
91080;6148912
91140;5969608
91200;5893712
91260;6924824
91320;6044272
91380;5578048
91440;5728112
91500;5407704
91560;5756872
91620;5644280
91680;5518440
91740;5586176
91800;5905128
91860;5270832
91920;6241760
91980;5624736
92040;6280432
92100;6064904
92160;5599536
92220;6477920
92280;5923992
92340;5816912
92400;5800760
92460;5877176
92520;5714528
92580;5576520
92640;5607712
92700;5953304
92760;5649392
92820;5902584
92880;5450368
92940;6150600
93000;5716752
93060;5712760
93120;6546272
93180;5861912
93240;5577840
93300;5780136
93360;6015120
93420;5165784
93480;6711336
93540;5949720
93600;5898040
93660;6060176
93720;6728136
93780;5997120
93840;6394832
93900;5787016
93960;5930440
94020;5704832
94080;5958384
94140;5461928
94200;5530408
94260;7051272
94320;5464704
94380;7063520
94440;5938864
94500;6246672
94560;5950528
94620;5016856
94680;5593720
94740;5075336
94800;6522480
94860;5825968
94920;5277928
94980;5615752
95040;5789152
95100;5304224
95160;5999680
95220;5594840
95280;6281680
95340;5713496
95400;7080800
95460;5430632
95520;6136408
95580;5491256
95640;5778848
95700;5199248
95760;6157440
95820;5039624
95880;6939936
95940;5913536
96000;5633168
96060;5616328
96120;6030264
96180;5889072
96240;6267224
96300;5814968
96360;5802832
96420;6353904
96480;5094136
96540;6078560
96600;5434104
96660;6063712
96720;5408520
96780;6018952
96840;5742992
96900;5511960
96960;6226768
97020;5325056
97080;5670544
97140;5788352
97200;5531984
97260;5880144
97320;5474712
97380;5726504
97440;5855288
97500;5530184
97560;6118152
97620;5368648
97680;5815936
97740;5951192
97800;5872200
97860;6036088
97920;4990136
97980;5712400
98040;5740328
98100;5382184
98160;6003960
98220;6013872
98280;5571968
98340;6193472
98400;5939664
98460;5707320
98520;6760808
98580;5865928
98640;5510400
98700;5948912
98760;6011224
98820;5468376
98880;5760960
98940;5725520
99000;6250896
99060;5299344
99120;6124520
99180;6142264
99240;6236776
99300;6858472
99360;5770280
99420;5430088
99480;5596552
99540;5858336
99600;7280344
99660;4367656
99720;6273952
99780;5505232
99840;6432312
99900;5924600
99960;6026056
100020;6147048
100080;4810888
100140;5487296
100200;6025464
100260;6371016
100320;6301096
100380;5689040
100440;5800760
100500;6345592
100560;6404048
100620;5556304
100680;5183240
100740;5485448
100800;5586416
100860;5286064
100920;6864888
100980;7291808
101040;6433928
101100;5656640
101160;5843376
101220;5667360
101280;6338936
101340;5962904
101400;5952928
101460;5999744
101520;5492520
101580;5732872
101640;6221608
101700;6011312
101760;5552408
101820;5579872
101880;5470352
101940;5952752
102000;5689488
102060;5369680
102120;6160608
102180;5122696
102240;6273912
102300;6393000
102360;5836288
102420;5683624
102480;5888736
102540;6231016
102600;7147592
102660;5882696
102720;5677664
102780;6035496
102840;5773576
102900;6414336
102960;6579136
103020;5744040
103080;7174536
103140;6047240
103200;5637424
103260;6520960
103320;6137176
103380;5806856
103440;5825080
103500;6317672
103560;6295152
103620;7179784
103680;6073384
103740;5764864
103800;4834992
103860;5976368
103920;5847472
103980;4975096
104040;5648288
104100;7038288
104160;5455776
104220;5604800
104280;5962320
104340;5709344
104400;6182528
104460;5632640
104520;5574280
104580;6139512
104640;5452272
104700;6105600
104760;7207392
104820;5624576
104880;5823304
104940;4963056
105000;5642544
105060;5595408
105120;5835064
105180;5619936
105240;5595328
105300;5388384
105360;5616024
105420;5698496
105480;7018256
105540;5982720
105600;6176720
105660;5564616
105720;5957112
105780;6002944
105840;5421024
105900;5843264
105960;5633296
106020;5682984
106080;5672016
106140;6655264
106200;6034400
106260;7560944
106320;6078352
106380;5620112
106440;7238368
106500;5885568
106560;6073320
106620;6349984
106680;5690624
106740;5841768
106800;5800960
106860;5469392
106920;5766992
106980;6105760
107040;6080656
107100;5405328
107160;5753296
107220;5917152
107280;5759912
107340;6293720
107400;6024480
107460;6381792
107520;5499376
107580;5864928
107640;5694016
107700;6121320
107760;5799760
107820;6440336
107880;5121264
107940;6187248
108000;5766064
108060;5708488
108120;6214712
108180;5645376
108240;5587600
108300;5241912
108360;6182712
108420;6114088
108480;4827600
108540;5737616
108600;6415496
108660;6320232
108720;7072008
108780;5830896
108840;5574952
108900;6347464
108960;6058504
109020;5411568
109080;7354304
109140;6104584
109200;6334280
109260;5994136
109320;5355248
109380;6116104
109440;5796272
109500;5624968
109560;5364528
109620;6815344
109680;5409440
109740;5503000
109800;5257752
109860;5710928
109920;5824016
109980;5645712
110040;4955456
110100;5815704
110160;6106968
110220;7417280
110280;6020544
110340;7056808
110400;7167136
110460;6214416
110520;5241768
110580;5580496
110640;6151440
110700;5622248
110760;7465352
110820;5888760
110880;5950176
110940;6040128
111000;5261952
111060;5576840
111120;5582744
111180;5861440
111240;5632888
111300;4882488
111360;6975600
111420;5603400
111480;5974968
111540;5748240
111600;5928200
111660;5658648
111720;5927160
111780;5530032
111840;6192680
111900;5391416
111960;6117720
112020;5680400
112080;5697048
112140;5739136
112200;5706712
112260;6036712
112320;5862392
112380;7130184
112440;5357648
112500;6120888
112560;5291992
112620;6066176
112680;6831016
112740;7061120
112800;5964712
112860;5291072
112920;5348768
112980;6301112
113040;5878560
113100;6187024
113160;6997256
113220;5804192
113280;7502320
113340;5753464
113400;5648544
113460;5291256
113520;5963200
113580;6067712
113640;5893856
113700;6080760
113760;5392064
113820;4977992
113880;6033288
113940;6308384
114000;6311144
114060;5404928
114120;5256544
114180;5053568
114240;5914832
114300;5251112
114360;5766032
114420;5541528
114480;5993504
114540;5995168
114600;5974920
114660;5924008
114720;6166696
114780;6215104
114840;5481232
114900;6221440
114960;6127416
115020;6160720
115080;5963424
115140;6181728
115200;6074408
115260;5764744
115320;5666608
115380;5494536
115440;6251568
115500;5762952
115560;5317336
115620;5770808
115680;6949856
115740;5724080
115800;6214056
115860;5790280
115920;6175856
115980;6079032
116040;5665576
116100;6104552
116160;5611384
116220;5933928
116280;6444056
116340;5215296
116400;5653688
116460;5586256
116520;5766448
116580;5281736
116640;5914512
116700;6184752
116760;5484920
116820;5924752
116880;5890872
116940;5747736
117000;5938048
117060;5819832
117120;5541288
117180;6136512
117240;5732784
117300;7795768
117360;5235576
117420;5893440
117480;6122544
117540;6261864
117600;5822096
117660;6201000
117720;5722400
117780;6217488
117840;6220504
117900;5801384
117960;7316400
118020;6309432
118080;5002608
118140;6035320
118200;6128680
118260;5623568
118320;6077912
118380;6062024
118440;5732952
118500;5468112
118560;5993904
118620;6075872
118680;5540592
118740;4755040
118800;5812384
118860;5784192
118920;7035264
118980;6017600
119040;6371848
119100;5475728
119160;7302608
119220;6563088
119280;5837256
119340;5174576
119400;5140112
119460;5711912
119520;6095728
119580;6318992
119640;5758616
119700;5629312
