TIME;LIN2_VmSize;LIN2_VmData;LIN2_RSS;LIN2_byte_letti__sec;LIN2_byte_scritti__sec;;;;;;
40800;735284;666908;42280;81030849;64430441;;;;;;
40920;735284;666908;42280;81800458;66245192;;;;;;
41040;735284;666908;42280;87364600;65597851;;;;;;
41160;735284;666908;42280;80280899;63343364;;;;;;
41280;735284;666908;42280;78886589;64924716;;;;;;
41400;735284;666908;42280;85880457;65671349;;;;;;
41520;735284;666908;42280;84926516;64038577;;;;;;
41640;735284;666908;42280;78021502;65042987;;;;;;
41760;735284;666908;42280;85863517;66217011;;;;;;
41880;735284;666908;42280;89063490;68267865;;;;;;
42000;735284;666908;42280;83863211;64082223;;;;;;
42120;735284;666908;42280;81279855;68752412;;;;;;
42240;735284;666908;42280;78365728;66172440;;;;;;
42360;735284;666908;42280;85770022;66179639;;;;;;
42480;735284;666908;42280;88147431;68340905;;;;;;
42600;735284;666908;42280;81232010;65980273;;;;;;
42720;735284;666908;42280;88434182;69112664;;;;;;
42840;735284;666908;42280;85427080;63404255;;;;;;
42960;735284;666908;42280;78400867;64116122;;;;;;
43080;735284;666908;42280;88912573;65677101;;;;;;
43200;735284;666908;42280;85134350;69115140;;;;;;
43320;735284;666908;42280;87822016;65650323;;;;;;
43440;735284;666908;42280;81883985;63944020;;;;;;
43560;735284;666908;42280;77167377;62446264;;;;;;
43680;735284;666908;42280;97188558;66690128;;;;;;
43800;735284;666908;42280;79160786;68357939;;;;;;
43920;735284;666908;42280;82578886;66432998;;;;;;
44040;735284;666908;42280;83453910;66480457;;;;;;
44160;735284;666908;42280;87868667;65448189;;;;;;
44280;735284;666908;42280;78782983;59751281;;;;;;
44400;735284;666908;42280;82306661;61139159;;;;;;
44520;735284;666908;42280;77874773;63356640;;;;;;
44640;735284;666908;42280;80703743;65626625;;;;;;
44760;735284;666908;42280;88480557;70095382;;;;;;
44880;735284;666908;42280;84355923;69278112;;;;;;
45000;735284;666908;42280;81865102;66353513;;;;;;
45120;735284;666908;42280;81573288;66511037;;;;;;
45240;735284;666908;42280;79016348;67892363;;;;;;
45360;735284;666908;42280;76908648;64025105;;;;;;
45480;735284;666908;42280;77048656;65872950;;;;;;
45600;735284;666908;42280;82687289;68348017;;;;;;
45720;735284;666908;42280;76928182;66210300;;;;;;
45840;735284;666908;42280;83534957;66075007;;;;;;
45960;735284;666908;42280;83604903;68725914;;;;;;
46080;735284;666908;42280;81271659;64567742;;;;;;
46200;735284;666908;42280;82855302;65542096;;;;;;
46320;735284;666908;42280;76489535;60944056;;;;;;
46440;735284;666908;42280;81636586;66229936;;;;;;
46560;735284;666908;42280;83691450;64763778;;;;;;
46680;735284;666908;42280;82668572;63519119;;;;;;
46800;735284;666908;42280;82554539;64327281;;;;;;
46920;735284;666908;42280;78493584;64800716;;;;;;
47040;735284;666908;42280;79713771;64615704;;;;;;
47160;735284;666908;42280;84968863;67760002;;;;;;
47280;735284;666908;42280;78533192;65710670;;;;;;
47400;735284;666908;42280;86904069;66785504;;;;;;
47520;735284;666908;42280;82167516;66467465;;;;;;
47640;735284;666908;42280;86298585;66053728;;;;;;
47760;735284;666908;42280;79198078;65327750;;;;;;
47880;735284;666908;42280;77577843;63470841;;;;;;
48000;735284;666908;42280;80826911;66902466;;;;;;
48120;735284;666908;42280;86963191;70160127;;;;;;
48240;735284;666908;42280;86024517;70701437;;;;;;
48360;735284;666908;42280;87265766;64706337;;;;;;
48480;735284;666908;42280;82977172;67514366;;;;;;
48600;735284;666908;42280;82378084;62952434;;;;;;
48720;735284;666908;42128;81151976;64082426;;;;;;
48840;735284;666908;42128;83105209;67250433;;;;;;
48960;735284;666908;42128;80565071;65051239;;;;;;
49080;735284;666908;42128;86056675;69591163;;;;;;
49200;735284;666908;42128;88713034;68955526;;;;;;
49320;735284;666908;42128;79862669;69516452;;;;;;
49440;735284;666908;42128;80330086;62721306;;;;;;
49560;735284;666908;42128;84030023;65793392;;;;;;
49680;735284;666908;42128;81748896;67484932;;;;;;
49800;735284;666908;42128;81866310;66836553;;;;;;
49920;735284;666908;42128;82903836;65435373;;;;;;
50040;735284;666908;42128;90618946;67952485;;;;;;
50160;735284;666908;42128;75117513;60016911;;;;;;
50280;735284;666908;42128;83624405;65453075;;;;;;
50400;735284;666908;42128;84158684;66056616;;;;;;
50520;735284;666908;42128;80208962;64910977;;;;;;
50640;735284;666908;42128;78406217;60342914;;;;;;
50760;735284;666908;42128;79031060;62324364;;;;;;
50880;735284;666908;42128;88115565;66492086;;;;;;
51000;735284;666908;42128;79807818;60390067;;;;;;
51120;735284;666908;42128;80504059;67324008;;;;;;
51240;735284;666908;42128;83711485;65926791;;;;;;
51360;735284;666908;42128;77109651;62336807;;;;;;
51480;735284;666908;42128;77829830;64696447;;;;;;
51600;735284;666908;42128;80911387;65981595;;;;;;
51720;735284;666908;42128;75822723;63640168;;;;;;
51840;735284;666908;42128;84366725;66500240;;;;;;
51960;735284;666908;42128;79659878;62016135;;;;;;
52080;735284;666908;42128;84332108;68931277;;;;;;
52200;735284;666908;42128;83295425;65183747;;;;;;
52320;735284;666908;42128;80591708;63516264;;;;;;
52440;735284;666908;42128;85050364;62381419;;;;;;
52560;735284;666908;42128;86950433;68801070;;;;;;
52680;735284;666908;42128;82048721;65933330;;;;;;
52800;735284;666908;42128;84885216;65450568;;;;;;
52920;735284;666908;42128;85898173;66967348;;;;;;
53040;735284;666908;42128;85075573;67655020;;;;;;
53160;735284;666908;42128;85814160;65941993;;;;;;
53280;735284;666908;42128;85002524;64026597;;;;;;
53400;735284;666908;42128;89254583;67489536;;;;;;
53520;735284;666908;42128;84046201;68185851;;;;;;
53640;735284;666908;42128;87470136;66148770;;;;;;
53760;735284;666908;42128;82817363;66038705;;;;;;
53880;735284;666908;42128;85117485;66946067;;;;;;
54000;735284;666908;42128;85042166;65855631;;;;;;
54120;735284;666908;42128;80790691;65004279;;;;;;
54240;735284;666908;42128;84678283;62453778;;;;;;
54360;735284;666908;42128;87460488;71094804;;;;;;
54480;735284;666908;42128;78587056;61934943;;;;;;
54600;735284;666908;42128;90274722;67863775;;;;;;
54720;735284;666908;42128;80540416;66051938;;;;;;
54840;735284;666908;42128;76442004;64145897;;;;;;
54960;735284;666908;42128;82377482;64609820;;;;;;
55080;735284;666908;42128;83082348;65191220;;;;;;
55200;735284;666908;42128;79997839;63889648;;;;;;
55320;735284;666908;42128;79454714;62916164;;;;;;
55440;735284;666908;42128;82754709;60302748;;;;;;
55560;735284;666908;42128;77192550;62852779;;;;;;
55680;735284;666908;42128;77689609;64680203;;;;;;
55800;735284;666908;42128;81986079;64583441;;;;;;
55920;735284;666908;42128;84110698;63182968;;;;;;
56040;735284;666908;42128;86935020;65429729;;;;;;
56160;735284;666908;42128;84268264;66302938;;;;;;
56280;735284;666908;42128;80563506;65619211;;;;;;
56400;735284;666908;42128;84276243;66612562;;;;;;
56520;735284;666908;42128;83150418;67641558;;;;;;
56640;735284;666908;42128;79947925;64748245;;;;;;
56760;735284;666908;42128;77501476;62193514;;;;;;
56880;735284;666908;42128;89851568;66678076;;;;;;
57000;735284;666908;42128;80871523;66200952;;;;;;
57120;735284;666908;42128;78580934;64060842;;;;;;
57240;735284;666908;42128;80336015;67254845;;;;;;
57360;735284;666908;42128;83872959;64572918;;;;;;
57480;735284;666908;42128;83840360;65117156;;;;;;
57600;735284;666908;42128;74574270;60579511;;;;;;
57720;735284;666908;42128;87718554;65774971;;;;;;
57840;735284;666908;42128;92190154;67216980;;;;;;
57960;735284;666908;42128;78975650;64212522;;;;;;
58080;735284;666908;42128;80827946;63103617;;;;;;
58200;735284;666908;42128;81604605;66985837;;;;;;
58320;735284;666908;42128;86606844;67562510;;;;;;
58440;735284;666908;42128;82451651;68775456;;;;;;
58560;735284;666908;42128;76159452;67085010;;;;;;
58680;735284;666908;42128;80725623;63002599;;;;;;
58800;735284;666908;42128;79885488;66167858;;;;;;
58920;735284;666908;42128;75988985;65505738;;;;;;
59040;735284;666908;42128;85920806;66675794;;;;;;
59160;735284;666908;42128;85323380;63740217;;;;;;
59280;735284;666908;42128;82855936;68751669;;;;;;
59400;735284;666908;42128;86390783;66656660;;;;;;
59520;735284;666908;42128;79106540;66758524;;;;;;
59640;735284;666908;42128;85925021;68028943;;;;;;
59760;735284;666908;42128;75290965;61036643;;;;;;
59880;735284;666908;42128;81608306;65809179;;;;;;
60000;735284;666908;42128;81961619;66516553;;;;;;
60120;735284;666908;42128;84239060;65745077;;;;;;
60240;735284;666908;42128;79170022;64779885;;;;;;
60360;735284;666908;42128;82852659;67665163;;;;;;
60480;735284;666908;42128;86736579;66987807;;;;;;
60600;735284;666908;42128;81669386;67773504;;;;;;
60720;735284;666908;42128;84389915;62563980;;;;;;
60840;735284;666908;42128;77685263;63971041;;;;;;
60960;735284;666908;42128;80419803;62426116;;;;;;
61080;735284;666908;42128;86865220;66637968;;;;;;
61200;735284;666908;42128;80923380;67655918;;;;;;
61320;735284;666908;42128;83361907;68939685;;;;;;
61440;735284;666908;42128;75957289;63576661;;;;;;
61560;735284;666908;42128;79852826;67327246;;;;;;
61680;735284;666908;42128;89205696;68258115;;;;;;
61800;735284;666908;42128;83119395;64683348;;;;;;
61920;735284;666908;42128;81940516;63487267;;;;;;
62040;735284;666908;42128;85802579;66497137;;;;;;
62160;735284;666908;42128;78100842;63990051;;;;;;
62280;735284;666908;42128;82788367;66216047;;;;;;
62400;735284;666908;42128;87311208;70746096;;;;;;
62520;735284;666908;42128;81134986;65928424;;;;;;
62640;735284;666908;42128;82505227;64688866;;;;;;
62760;735284;666908;42128;81343008;65215549;;;;;;
62880;735284;666908;42128;82608493;63840671;;;;;;
