'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Active','Inactive','Dirty','Writeback','AnonPages','Mapped','Slab','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed','avgLatency','Errors',Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
172388,170340,32192,31912,200,61,4661964,105548,1117064,0,409112,897716,4661964,8159224,32,0,84216,23740,108900,7208,314420,1020,0,2,"-3,381055875","-3,397085009","-0,808696226","0,0254151985","-1,545836696","0,3058354742","0,0545915708"
172388,170340,32192,31912,200,52,4662152,105636,1117064,0,409112,897804,4662152,8159224,24,0,84216,23740,108856,7208,314420,1020,0,2,"-3,435473348","-3,402038055","-0,83164477","0,0068285164","-1,43581158","0,1781438093","0,0160570469"
172388,170340,32192,31912,200,40,4662132,105728,1117068,0,409124,897880,4662132,8159224,164,0,84216,23740,108860,7208,316484,1020,0,2,"-3,434305653","-3,443426577","-0,819822313","-0,015751413","-1,295039389","0,0265143114","-0,062951708"
172388,170340,32192,31840,200,28,4662600,105820,1117068,0,409044,897972,4662600,8159224,164,0,84068,23740,108824,7208,316348,1020,0,2,"-3,522063811","-3,442921399","-0,843867157","-0,038966749","-1,161852018","-0,136662721","-0,110944447"
172388,170340,32192,31912,200,17,4662308,105868,1117068,0,409184,897972,4662308,8159224,36,0,84220,23740,108880,7204,316348,1020,0,2,"-3,573982005","-3,421224243","-0,914667352","-0,058453913","-1,053938057","-0,264716781","-0,219694367"
172388,170340,32192,31912,200,9,4661752,105964,1117068,0,409188,898060,4661752,8159224,40,0,84216,23740,108872,7204,314008,1020,0,2,"-3,687359706","-3,380703451","-0,919767452","-0,07444339","-0,965334559","-0,384896976","-0,241078919"
172388,170340,32192,31912,200,61,4661708,106040,1117068,0,409196,898124,4661708,8159224,24,0,84212,23740,108956,7204,314008,1530,0,2,"-3,614031455","-3,305773316","-0,773925066","0,0186658112","-0,580691483","1,3457633795","0,0116595562"
172388,170340,32192,31916,200,47,4661440,106128,1117068,0,409220,898196,4661440,8159224,36,0,84220,23740,108916,7208,315984,1530,0,2,"-3,612710242","-3,35457033","-0,793791443","-0,010140884","-0,398340598","1,1513495165","0,0073151789"
172388,170340,32192,31916,200,35,4661536,106188,1117068,0,409248,898228,4661536,8159224,36,0,84220,23740,108948,7208,315812,2040,0,2,"-3,893088507","-3,320396365","-0,772940239","-0,040880432","0,7059018084","2,0301835119","-0,02432239"
172388,170340,32192,31916,200,24,4661516,106272,1117068,0,409256,898300,4661516,8159224,164,0,84216,23740,108928,7208,315440,2040,0,2,"-3,967114163","-3,328525943","-0,753714197","-0,062505187","0,8340008322","1,8768191668","-0,083401251"
172388,170340,32192,31916,200,12,4661232,106348,1117068,0,409288,898348,4661232,8159224,152,0,84220,23740,108884,7208,315316,1530,0,2,"-3,823032594","-3,363150046","-0,823989146","-0,07821222","0,0008386686","0,6761861604","-0,154325031"
172388,170340,32192,31916,200,9,4662008,106420,1117068,0,409308,898404,4662008,8159224,32,0,84224,23740,108920,7204,317716,1530,0,2,"-3,779420915","-3,375715381","-0,886073084","-0,081745161","0,020046894","0,6641038892","-0,238040509"
172388,170340,32192,31916,200,65,4661180,106504,1117068,0,409312,898476,4661180,8159224,32,0,84216,23740,108984,7208,315540,1530,0,2,"-3,520119848","-3,308119814","-0,749229887","0,025800675","-0,603892671","1,3900414997","0,0945737047"
172388,170340,32192,31916,200,49,4661316,106600,1117068,0,409324,898564,4661316,8159224,40,0,84220,23740,108872,7208,313112,1020,0,2,"-3,481117043","-3,321464892","-0,819184334","0,0002036096","-1,385060439","0,1144715973","0,0172468422"
172388,170340,32192,31916,200,45,4661332,106688,1117068,0,409320,898652,4661332,8159224,32,0,84216,23740,108904,7208,312932,1020,0,2,"-3,505011419","-3,310750029","-0,825906271","-0,006625621","-1,345015029","0,0641007297","0,0036869634"
172388,170340,32192,31916,200,29,4661088,106768,1117068,0,409348,898708,4661088,8159224,28,0,84220,23740,108896,7208,315068,1020,0,2,"-3,521818296","-3,345267281","-0,864922165","-0,037318123","-1,158523503","-0,140162148","-0,079240103"
172388,170340,32540,32500,200,20,4661044,106844,1117068,0,409936,898764,4661044,8159224,144,0,84728,23740,108968,7208,314848,1530,0,2,"-3,709370255","-3,352182995","-0,810552582","-0,065924181","-0,048586276","0,7635180856","-0,129388352"
172388,170340,32600,31912,200,9,4661132,106904,1117072,0,409388,898800,4661132,8159224,172,0,84144,23740,108908,7208,317020,1530,0,2,"-3,767472262","-3,360775491","-0,827210205","-0,084054467","0,0501732878","0,6343477834","-0,178790287"
172388,170340,32656,31912,200,9,4661016,106980,1117072,0,409420,898844,4661016,8159224,36,0,84284,23740,109012,7208,317012,1530,0,2,"-3,744107593","-3,338392945","-0,863468895","-0,08183674","0,0367714264","0,6491877862","-0,16408855"
